source,missing_set,experiment_mode,experiment,seed,model_type,model_path,n,latency_s,training_s,r2,mae,rmse,nmae,accuracy,macro_f1,residual_mean,residual_std
internal_test,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod_nh3n/svm.joblib,10000,26.830126211047173,195.55125114135444,0.7694244714221319,7.067040631741064,9.70097203830367,0.0802434498891911,0.6565,0.5686470013439683,-1.4236242933555243,9.596424412012382
external_10714,missing_bod_nh3n,indicator_reconstruction,indicator_reconstruction_missing_bod_nh3n,4,svm,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod_nh3n/svm.joblib,10714,28.876968573778868,195.55125114135444,-0.4939569001349306,16.670874473397536,18.44167402804105,0.2753241036068957,0.2474332648870636,0.2467045753798478,-16.327412059156373,8.574253218389247
internal_test,complete,full_reference,full_reference,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/rf.joblib,10000,0.1451773270964622,4.07623983733356,0.9986860356010724,0.3900661733333351,0.7323192420052267,0.0044290470459104,0.9794,0.9716010947907362,-0.0563864533333312,0.7301817284945307
external_10714,complete,full_reference,full_reference,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/rf.joblib,10714,0.0890995506197214,4.07623983733356,0.9976692296911388,0.4033888681475988,0.7284186312896803,0.0066620787472766,0.9787194325182004,0.9179011629564487,-0.1739188165017782,0.707384373757447
internal_test,missing_bod,inference_dropout,inference_dropout_missing_bod,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/rf.joblib,10000,0.0968321599066257,4.07623983733356,0.508329762714135,12.189852706666668,14.1659467882569,0.1384109538624579,0.3626,0.3363675789483049,11.299118726666665,8.544662985452977
external_10714,missing_bod,inference_dropout,inference_dropout_missing_bod,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/rf.joblib,10714,0.080098221078515,4.07623983733356,0.9344872017810693,3.6864476790492176,3.861840936065605,0.0608827032047765,0.8095015867089789,0.6443290212609968,-3.508059980710596,1.6147984292998487
internal_test,missing_bod,reduced_retraining,reduced_retraining_missing_bod,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod/rf.joblib,10000,0.1585081107914447,3.9568321127444506,0.8863148706002201,5.010396913769842,6.81177785835808,0.0568910743019171,0.7547,0.7526026212384186,0.1698024728968259,6.810001639063527
external_10714,missing_bod,reduced_retraining,reduced_retraining_missing_bod,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_bod/rf.joblib,10714,0.1542001608759164,3.9568321127444506,-0.0231497351733063,14.122556177061016,15.261629461757371,0.2332379219993561,0.2913944371849916,0.2942153017720745,-13.964919346745544,6.156451824857299
internal_test,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/rf.joblib,10000,0.3097860477864742,10.978787088766694,0.8469628332533009,5.621500866666667,7.903275199315006,0.0638299178683623,0.7186,0.7334520957404814,1.6698982791111128,7.725229221853705
external_10714,missing_bod,indicator_reconstruction,indicator_reconstruction_missing_bod,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/indicator_reconstruction/missing_bod/rf.joblib,10714,0.3063361290842294,10.978787088766694,0.1061802058642578,12.106223812257216,14.26449138485574,0.1999376352148177,0.4029307448198618,0.3715448158510779,-11.864351833745197,7.919515385262044
internal_test,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/rf.joblib,10000,0.1053582374006509,4.07623983733356,0.8230775230407131,7.3374204066666735,8.497675678567425,0.0833135052420424,0.4819,0.5041474743773006,5.618153880000006,6.375806145826436
external_10714,missing_nh3n,inference_dropout,inference_dropout_missing_nh3n,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/full_reference/rf.joblib,10714,0.0908810961991548,4.07623983733356,0.7228084271381674,6.936810378943448,7.943672271786387,0.1145633423442353,0.5700018667164458,0.3892871979409337,4.839333320888568,6.299721132059892
internal_test,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/rf.joblib,10000,0.1647994704544544,3.7923532258719206,0.9816260608126612,1.84113136,2.738481325330074,0.0209053180424662,0.9051,0.8990162396013792,0.0346282000000003,2.7383993025160374
external_10714,missing_nh3n,reduced_retraining,reduced_retraining_missing_nh3n,4,rf,results_missing_indicator_robustness_20260613_gpu_v2/models/seed_4/reduced_retraining/missing_nh3n/rf.joblib,10714,0.0894671957939863,3.7923532258719206,0.9434406598508208,2.513194745193202,3.588256448872841,0.0415061064441486,0.8539294381183499,0.7613815546635238,0.0563977568290705,3.587980658313218
