dataset_size,dataset,fold,model_type,split,n_samples,r2,mae,rmse,nmae,accuracy,macro_f1,training_s,prediction_s
10000,dataV1_10000,4,xgboost,test,2000,0.9990704818240308,0.3883777083587647,0.588165531885735,0.0046685624276807,0.984,0.9772131308920952,15.070087160915136,0.0814089849591255
10000,dataV1_10000,4,lightgbm,train,8000,0.999540046827508,0.285064548126132,0.4145979211187671,0.0032460094298124,0.985875,0.9852186226207252,13.26928267069161,0.0831993203610181
10000,dataV1_10000,4,lightgbm,test,2000,0.9984643096492546,0.4431389341595975,0.7560011472716314,0.0053268293564081,0.9825,0.9207662800999546,13.26928267069161,0.0207975134253501
10000,dataV1_10000,5,lr,train,8000,0.7932366412997058,6.809806846402396,8.783254175820533,0.0786079515918549,0.616,0.5218788395396716,0.0128773115575313,0.0126990210264921
10000,dataV1_10000,5,lr,test,2000,0.793881433240206,6.853567816222234,8.786451538117722,0.078041081942863,0.615,0.5461193551022462,0.0128773115575313,0.0112420003861188
10000,dataV1_10000,5,mpr,train,8000,0.8929384012006586,5.054540318729097,6.320268433963963,0.0583463040370437,0.74375,0.601362989374378,0.0176522880792617,0.0115375146269798
10000,dataV1_10000,5,mpr,test,2000,0.8928971699022094,5.107121274716022,6.333670038758354,0.0581544212561605,0.745,0.6281546946353096,0.0176522880792617,0.0140816941857337
10000,dataV1_10000,5,svm,train,8000,0.9861693042788648,1.6949963923608231,2.27164610829832,0.0195659285739446,0.909,0.7930325456604664,3.6579475104808807,3.163570269942284
10000,dataV1_10000,5,svm,test,2000,0.9839557542637212,1.7658820278793472,2.451402437448752,0.0201079711669249,0.9035,0.7374280933498057,3.6579475104808807,0.7870823610574007
10000,dataV1_10000,5,rf,train,8000,0.9994378127428136,0.2765012583333338,0.4579933376210579,0.0031917494901689,0.984125,0.9578038025147412,1.965242225676775,0.1637436896562576
10000,dataV1_10000,5,rf,test,2000,0.9957444126877174,0.7694789499999976,1.26250967153369,0.008762001252562,0.9545,0.9484000267301576,1.965242225676775,0.1033988706767559
10000,dataV1_10000,5,xgboost,train,8000,0.9996929289800968,0.2380435332107544,0.3384839476514132,0.0027478186911087,0.98725,0.9852868262313448,1.606605077162385,0.1699418798089027
10000,dataV1_10000,5,xgboost,test,2000,0.998898898614914,0.4080491033935546,0.6421975072990934,0.0046464256820035,0.973,0.9707497327616346,1.606605077162385,0.119995204731822
10000,dataV1_10000,5,lightgbm,train,8000,0.9995637986279664,0.2781034205944623,0.403424412604363,0.003210243802314,0.98525,0.9272662353515724,27.879887856543064,0.0614896696060895
10000,dataV1_10000,5,lightgbm,test,2000,0.9988527305290688,0.4060343187026312,0.6555226157345562,0.0046234834741816,0.976,0.9753320461388,27.879887856543064,0.0131600685417652
50000,dataV1_50000,1,lr,train,40000,0.7542624429603583,7.889253400986419,9.99046062706199,0.0878340392004722,0.5455,0.4700961786975219,0.0323838293552398,0.0763965994119644
50000,dataV1_50000,1,lr,test,10000,0.762891205732909,7.74114445349264,9.824483530135542,0.0878078998808148,0.5537,0.4890935914828866,0.0323838293552398,0.0245286766439676
50000,dataV1_50000,1,mpr,train,40000,0.88883918009124,5.323033562460969,6.719324497168966,0.0592633440487749,0.729175,0.6185372544770994,88.24292889796197,4.366972755640745
50000,dataV1_50000,1,mpr,test,10000,0.8949947156951058,5.2578833793472,6.537948201551835,0.0596402379690018,0.7313,0.6122281467467156,88.24292889796197,0.0437691062688827
50000,dataV1_50000,1,svm,train,40000,0.9851158724057668,1.7715379857503173,2.4587333755344307,0.0197232018008274,0.903725,0.8182730360441773,166.72150152362883,129.18545499630272
50000,dataV1_50000,1,svm,test,10000,0.9844956445828644,1.809953635540912,2.5122494257006656,0.0205303270819068,0.9019,0.834548124852123,166.72150152362883,28.691318610683084
50000,dataV1_50000,1,rf,train,40000,0.9998235169638426,0.1461688016666685,0.2677325828041862,0.0016273525012989,0.99165,0.9865794832676474,11.581199012696745,1.4607069753110409
50000,dataV1_50000,1,rf,test,10000,0.9987338770431874,0.3875715933333349,0.7179163423457574,0.004396229506957,0.9777,0.9393215923481136,11.581199012696745,1.3606498278677464
50000,dataV1_50000,1,xgboost,train,40000,0.9996629429763476,0.2353706616973876,0.3699997537780617,0.0026204705154463,0.986425,0.985035790348534,7.596648456528783,0.1520800665020942
50000,dataV1_50000,1,xgboost,test,10000,0.9994713307732478,0.283203611541748,0.4639037824475976,0.003212382163586,0.985,0.9553193389375426,7.596648456528783,0.080195939168334
50000,dataV1_50000,1,lightgbm,train,40000,0.999568081893311,0.2778022948937689,0.4188422169768655,0.0030928779213289,0.98505,0.9757607748818496,8.211687754839659,0.316633190959692
50000,dataV1_50000,1,lightgbm,test,10000,0.9994286134165464,0.3116045521845737,0.4822818489352847,0.0035345343941081,0.9854,0.9714116857389504,8.211687754839659,0.0708429217338562
50000,dataV1_50000,2,lr,train,40000,0.7560741107509102,7.858902372797433,9.954938786623968,0.087496129734997,0.5484,0.4735486540106428,0.1698642801493406,0.0473255552351474
50000,dataV1_50000,2,lr,test,10000,0.7555814394843834,7.841771069344561,9.969300204761842,0.0890705482660672,0.55,0.4867507649527808,0.1698642801493406,0.0245916713029146
50000,dataV1_50000,2,mpr,train,40000,0.8912243270197971,5.26981529756479,6.647763105365305,0.0586708449962679,0.73055,0.6181277304625538,0.2417516279965639,0.1165804862976074
50000,dataV1_50000,2,mpr,test,10000,0.885025030609927,5.273989586377743,6.837529835247435,0.0599044705404105,0.7308,0.6233280035588641,0.2417516279965639,0.0780376847833395
